item_id,attribute_list
3899,3659 10500 2204 2178 11057 16342 12711 10068 756 13227
3900,5212 9392 2987 4887 10432 10302 6940 5245 7083 1187
3901,14102 1633 14109 14473 14107 1946 14491 14500 1446 2793
3902,17339 4764 11214 5428 11262 3707 9118 11692 11694 10976
3903,5841 9676 6361 169 3265 7286 4046 246 4695 3113
3904,4719 8986 9010 8944 8946 8955 8974 8976 8982 8938
3905,10123 5880 6202 8502 17585 1742 731 8841 6922 5015
3906,3659 15685 6579 1870 6922 10123 731 13526 5880 6202
3907,11003 11035 6139 6103 10960 10975 10978 10871 11005 11074
3908,11069 11074 12442 7787 7803 7734 11085 12412 7724 7816
3909,6202 731 17585 7702 5880 8841 15756 6922 5015 8502
3910,3955 3976 1715 1722 1730 1736 3953 1669 3958 4009
3911,15079 12665 3775 921 6404 14963 3769 5713 14955 15230
3912,758 1890 2152 7106 10288 162 5240 7099 7095 5230
3913,17908 10068 2782 17373 15274 13227 11409 14818 13691 756
3914,9392 758 13237 4719 4265 11057 7753 5390 7098 8446
3915,5724 5723 4791 344 5733 339 5718 5721 1013 1455
3916,4265 16618 10645 8683 9401 10653 10650 10171 8299 16619
3917,4667 500 494 4650 606 4653 4635 4678 5847 955
3918,2448 11166 15712 8308 7301 11170 12543 10316 7295 16846
3919,1890 758 11584 12442 10760 8033 8050 7225 7224 10746
3920,13029 13037 7212 13021 7204 7201 16605 7197 3468 2101
3921,8326 4795 4719 8435 1986 8270 11334 9555 8144 8774
3922,8326 9978 9296 10378 10215 11680 9854 8115 12081 8052
3923,84 16114 3890 2987 1185 4887 6210 7681 12765 13231
3924,5212 4653 4934 5249 5247 4650 1283 825 824 4119
3925,9534 9596 9341 9401 9422 9423 9425 9426 9446 9325
3926,7001 6354 169 2178 10943 15487 15443 1946 15538 15486
3927,9776 9770 9836 9825 9818 9807 9871 9649 9658 9879
3928,11334 11155 10137 14267 13357 10660 8774 5794 8270 4980
3929,8326 6227 12812 15980 12821 8803 10044 8806 1648 15953
3930,3605 3607 12482 17347 12941 10378 11680 2158 4549 9854
3931,5027 5724 5075 5074 5066 5051 5043 5030 5086 190
3932,9392 1890 5212 17854 10194 7319 17203 8054 14037 17442
3933,3659 10500 16220 13918 12138 13606 15770 4569 12872 17245
3934,8326 758 1890 9392 17674 5643 14587 5823 597 1433
3935,17147 14278 14367 14362 14349 14347 14338 14329 14296 14377
3936,1890 758 10245 8288 8291 10254 8292 9341 8299 8277
3937,4265 1614 6051 6071 6063 1619 4029 1569 6046 1607
3938,4265 2178 758 2204 5657 1176 190 1321 187 969
3939,10484 17013 10478 17002 17861 4023 17015 10504 16996 10502
3940,2987 4887 8936 3895 8942 8938 11342 17254 3896 7570
3941,1185 4887 2987 13576 5250 2843 14060 10338 5367 9836
3942,2843 5250 6564 6640 6628 6607 6577 6574 6572 6570
3943,2152 550 482 464 2121 677 615 587 2200 2027
3944,10500 3659 4887 2987 16342 11057 10432 10302 6940 5245
3945,4265 16342 11057 4795 8502 731 6202 1742 9865 8841
3946,7286 392 13227 17019 552 3265 6595 14149 7364 2782
3947,16297 8826 7287 10062 10061 16494 8814 12130 8820 11240
3948,10194 10574 7355 16717 17911 7347 17048 16693 10576 16778
3949,7429 7430 13716 16391 2376 16386 16384 16383 7428 7418
3950,11057 758 13231 4719 1890 11155 3572 10660 17273 11494
3951,758 10943 1890 6354 7001 4265 16391 10586 16384 16386
3952,14368 15103 1239 16624 11471 13063 216 9000 13549 1801
3953,1882 16365 5110 460 7962 5130 16397 5105 480 5166
3954,16342 11057 2987 758 4887 1185 4765 8783 4762 14854
3955,2545 17824 4025 4023 4022 2528 16776 13236 4009 17565
3956,3659 10500 5433 2456 17553 2424 17854 17048 14813 17050
3957,2720 14491 2762 2687 1459 2456 14473 14851 1446 2538
3958,12825 12820 12748 12807 6947 1533 12356 6623 1882 12410
3959,12943 13237 2746 16162 16180 2737 16170 16183 2756 8871
3960,1890 758 5212 9392 4023 4009 4022 3994 1661 3992
3961,9392 5212 16292 9941 2616 2575 6461 1059 14884 17540
3962,758 1890 10943 7001 6354 4614 447 4603 4607 4556
3963,4265 1012 14179 14384 13946 1870 17728 16650 15958 2541
3964,1890 758 9392 10943 5212 4434 4495 4470 4532 4468
3965,12748 12825 12807 12820 271 6567 4795 2520 12811 14109
3966,271 7083 5245 6589 10432 6940 6854 6867 6881 15709
3967,15426 15652 6797 6607 15347 15558 15392 15521 15318 15342
3968,5403 489 12227 16482 17344 482 10540 10446 17759 13136
3969,16342 6210 11057 10302 7083 10432 6940 5245 271 13231
3970,758 5212 258 246 169 3452 5347 5786 3459 5399
3971,258 169 246 17737 9849 17381 16538 7423 16543 11034
3972,434 464 444 2192 439 2183 482 2200 758 1890
3973,13237 5212 7719 11681 11655 7528 11607 8050 8009 6902
3974,271 6567 6210 1185 2987 7681 3890 16114 7264 84
3975,17381 10060 17376 17235 8032 17854 10066 8023 17670 8139
3976,758 1890 3249 12442 6906 12492 6898 3248 12406 3243
3977,7101 11005 7645 7089 8009 11844 7096 11836 11835 11003
3978,271 13134 6607 6838 12832 12839 15424 12908 12897 6767
3979,6354 10943 7001 14963 3511 12686 5786 14397 15151 14967
3980,4635 4617 237 5780 4667 5763 4653 4650 4645 4711
3981,7828 9953 17751 587 17161 8281 2183 7939 17411 17050
3982,4719 6273 12398 7336 11962 13552 4272 16820 14257 3331
3983,1890 758 8032 17203 8023 17207 10194 8281 7423 17259
3984,14751 10948 3853 1189 325 6339 16429 6461 14884 4395
3985,8326 3853 14004 3342 11501 2089 6461 17395 6188 1059
3986,17381 17729 18049 10267 17495 17259 17207 17830 8281 10288
3987,271 758 6567 10302 5245 6176 1971 13294 13296 12055
3988,5572 14226 12665 14139 5675 6795 6404 1836 14868 1080
3989,758 1890 731 6579 17585 6922 5880 7702 1870 13526
3990,14060 10338 14448 12584 14449 15785 6530 15300 12575 12548
3991,3659 10500 1553 2142 11767 7926 7928 8484 8495 8475
3992,15789 11854 12794 6315 2094 13707 10197 17333 12507 6311
3993,14109 14107 14491 14473 14102 14704 14720 14536 14627 14762
3994,758 10943 1890 8288 9746 16255 13092 8292 8291 16249
3995,15300 14456 1117 15880 14917 12556 6493 12575 15831 6530
3996,13231 6891 12834 12415 6624 12830 6623 1946 6724 12457
3997,17203 17344 17308 17556 8281 7319 10066 10238 17907 17740
3998,758 1890 5212 169 9392 7213 3080 3077 7212 15296
3999,8944 16776 16765 8955 8946 3872 12492 8942 3870 2393
4000,4265 2987 4887 1185 169 10692 3450 10700 16765 10711
4001,4265 6046 6039 6051 6071 1569 4093 1547 4094 4055
4002,11694 6339 4395 13878 3342 6461 11157 14004 12456 1189
4003,8841 15756 5880 13526 6202 6922 15685 6579 731 7702
4004,4265 1890 13237 11057 758 6315 1709 6311 6310 6304
4005,2587 1576 14109 1402 1503 1464 2657 2671 2687 2793
4006,2987 1185 4887 11057 16342 11506 4938 11515 4936 4943
4007,10376 10401 10351 10360 10364 10370 10348 10390 10468 10447
4008,758 1890 6922 15756 9865 7702 6579 10123 15685 5015
4009,758 8326 1890 13231 10943 11057 9392 11155 8435 16781
4010,4645 4635 638 4659 4653 4650 549 855 5110 4617
4011,8326 4795 10447 11959 7004 14790 16162 15681 13293 13883
4012,2307 2301 10060 17393 7271 17409 17412 4162 17442 17381
4013,5212 9392 213 5721 1736 1181 3958 5789 5086 5724
4014,17346 763 17126 7851 17012 16177 232 16219 2382 7433
4015,8681 17048 8738 8697 17050 8838 8636 8652 8844 17553
4016,758 1890 5212 9392 10500 3659 7768 14037 7978 17442
4017,5428 5823 149 14883 11262 1433 597 14587 2381 11273
4018,3402 5922 14358 15300 6293 12556 5963 3593 15230 6261
4019,8502 1742 8841 17961 10123 17585 731 6579 6202 5880
4020,12943 13237 7873 7803 7816 7839 7870 7787 7964 7968
4021,17307 17308 17203 17207 17854 17235 8281 17259 17830 12820
4022,4265 169 3347 14123 3315 3327 14167 14153 3310 14116
4023,17740 17751 17729 10288 17737 17954 10066 17308 9855 8054
4024,13282 489 11576 10446 482 14037 10843 7642 17670 9685
4025,1185 2987 4887 15079 12707 5849 6404 6356 3686 5870
4026,13296 12983 13289 13134 13311 13314 13250 13249 13327 13328
4027,7001 6354 10943 11057 16342 10504 10522 8833 10502 9718
4028,8335 8319 8371 8348 8342 8395 8299 8308 8401 8310
4029,758 4795 10267 17729 18049 17308 17307 17670 17751 17393
4030,10943 7001 6354 4265 7101 7096 10470 11844 3347 11835
4031,271 6567 1890 758 2987 4887 1185 10500 3659 11703
4032,4719 12943 169 11076 14932 14220 4708 2970 4144 10173
4033,14683 6457 3966 14679 14680 6467 6465 14682 14672 6463
4034,5250 169 10338 5367 2843 14060 8718 258 11140 18022
4035,758 1890 9392 5212 6354 10943 4265 7001 447 5207
4036,8326 3976 11764 1720 15735 1715 15743 11085 1709 9543
4037,8697 12132 8681 677 4250 7216 12167 12141 11160 4269
4038,16342 11057 7702 6579 5880 6922 17585 10123 13526 1742
4039,9392 758 1890 13237 17019 10068 15274 9352 756 17908
4040,8326 9392 14587 11262 2924 5643 17188 4764 5428 5823
4041,758 1890 12725 14285 16682 13809 10566 17356 2528 17364
4042,4795 8326 1040 1013 5870 1030 4322 5847 5849 1070
4043,2987 4887 1185 2200 489 439 444 2183 2192 2027
4044,17495 9817 9790 17457 4029 8572 9953 6112 17921 16944
4045,11457 11148 5403 14842 8446 14592 10279 13216 5390 7753
4046,5922 14923 12556 12548 1647 1665 1766 1787 1836 12575
4047,10576 10574 16130 7371 8023 7978 8032 11034 7347 14029
4048,5212 9392 758 1890 10760 14038 8614 10762 12516 14605
4049,15785 14397 15880 12548 12584 15300 14456 2846 6530 6493
4050,848 3599 1084 6133 17081 6672 1975 3142 7503 17656
4051,10288 10267 13769 4837 17737 13776 4852 4862 11317 17740
4052,12943 4265 13237 7888 16839 13004 6956 10184 3718 17364
4053,13949 4862 2200 14052 9445 2298 17907 11650 17737 17740
4054,237 5261 566 5718 1086 248 579 838 5474 5900
4055,4265 6139 1715 1709 4009 1551 6051 1661 1669 6063
4056,9392 5212 503 514 9274 497 9270 9251 508 4710
4057,5674 5673 5697 5696 5689 5680 5701 5656 5668 5709
4058,12748 17203 10060 10066 17670 8281 10194 17729 17618 17235
4059,2178 2204 4795 8326 2538 4495 939 947 8898 932
4060,6567 271 12342 12409 12814 12562 7509 12677 7703 12811
4061,12641 14908 2836 17291 6431 13788 2832 15290 14474 10370
4062,6259 15151 5922 1005 819 5925 3855 3899 5963 15145
4063,13063 5676 8728 1239 11471 216 12321 718 5910 9000
4064,13231 16342 11057 10943 2178 7001 2204 6354 169 258
4065,17502 16219 6865 5928 17346 16863 16177 10962 17012 17475
4066,6103 1722 4025 4009 1669 1709 6112 1715 3994 1720
4067,10943 13231 10721 10745 10692 10700 10707 10711 10719 3690
4068,11281 15769 11408 8827 8058 15361 7715 17228 14952 2121
4069,4265 9392 12943 5212 16457 11035 16470 16477 13883 13879
4070,14060 6210 3890 16114 12765 84 13576 7681 5250 5367
4071,3992 4025 1648 3958 1715 3953 1709 6112 6118 3955
4072,3659 10500 15151 921 6156 3136 1766 15145 12740 3156
4073,6922 17585 731 1742 1870 10123 5880 13526 9865 6579
4074,5250 5367 14060 758 13576 2843 10338 258 169 246
4075,16509 13918 12872 17490 12465 17245 13606 16220 12138 16432
4076,6354 10943 7001 758 1890 9941 2089 1059 17395 6188
4077,5212 9392 6210 4924 4406 5779 953 187 5780 4614
4078,3130 5693 15145 12665 12682 12686 14341 3291 3351 14261
4079,4887 2987 2575 16292 2089 10948 6339 17395 17540 4395
4080,7702 9865 731 6202 1870 8841 5880 17585 15685 1742
4081,13231 4719 16342 11057 13237 4530 1374 1455 1362 4448
4082,5367 2843 14060 13576 10338 5250 5880 1870 8841 5015
4083,17307 17308 7716 17161 8242 15750 17495 17159 16944 4162
4084,758 1890 439 434 2200 2192 2183 444 482 464
4085,758 1890 6543 6580 6562 15775 6550 15780 6588 6545
4086,13237 9658 9746 9573 9596 9606 9635 9643 9649 9657
4087,16445 10689 9790 17670 17854 7505 17259 8572 10807 7731
4088,615 2027 444 464 482 489 550 587 434 677
4089,10560 10571 10536 10537 10546 10553 10534 10566 10608 10593
4090,10943 6354 7001 758 1890 4265 9392 7724 14038 16246
4091,1890 11055 363 15593 7220 15874 4804 12534 2510 13163
4092,11057 6354 7001 12066 12860 12062 16223 8299 14636 17181
4093,4306 606 5364 4299 4304 579 638 629 4280 4322
4094,6223 14883 149 11214 17674 7577 2381 17188 2924 7305
4095,14037 16365 17416 16364 5317 5869 17412 1213 17409 298
4096,7508 7644 7510 7509 12573 12577 12354 7620 12342 12784
4097,14261 6046 5870 3994 14259 3586 6139 14456 3992 6356
4098,16342 11057 6339 17395 17417 325 14751 11501 14884 2616
4099,5250 14432 14377 14400 14405 14414 14419 14439 14437 14479
4100,4265 9392 11057 1742 17585 5880 8841 6202 1870 15685
4101,4887 2987 1185 246 169 258 12415 12410 12748 6823
4102,5819 5786 15300 15831 5922 12665 5870 5849 14923 3130
4103,17729 895 4299 464 4304 9686 9685 4306 13597 17737
4104,14419 3661 10620 7418 3666 7429 7412 12695 7406 10608
4105,6210 16114 12765 7264 84 7681 3890 17553 10446 11738
4106,7565 12455 7644 12662 12443 12450 7665 7666 12677 12597
4107,1964 1965 9401 14847 14845 14844 14869 14811 9423 1945
4108,10500 3659 17245 16509 16432 17420 13918 12872 16220 17490
4109,4719 8270 8627 17273 10632 14125 15812 11235 3817 15917
4110,11057 16342 5212 9000 16624 5224 5363 13063 718 15436
4111,10267 17737 17759 17344 17752 17751 8054 10288 7611 17740
4112,4265 8310 8342 8335 13274 13267 8348 8319 2797 8299
4113,9392 5212 13237 758 1890 10831 14448 1766 14449 6227
4114,8326 11057 16342 9392 9978 6934 16319 10215 11680 6391
4115,4887 6940 5245 7083 1185 10432 10302 2987 5212 1997
4116,9945 10962 15148 5632 9306 9520 9744 15508 7851 1833
4117,6112 6139 6118 6103 4719 6364 13497 13472 6365 6376
4118,13237 4265 13231 8335 8299 8308 8310 8319 8348 8395
4119,7480 7407 7642 7611 17050 7524 7505 17048 17740 7423
4120,6354 10943 7001 2987 4887 758 5212 9392 1185 1890
4121,1965 16893 6746 10478 12617 10484 6741 16885 6739 2655
4122,4795 6754 11324 2720 1245 14704 12457 1236 1459 2748
4123,1890 758 5212 1013 500 5424 5422 5420 5432 5388
4124,10943 7001 6354 12725 4009 8348 3308 3315 12721 17356
4125,12725 8335 8308 8310 3680 12721 8319 3666 3661 3690
4126,5212 9392 4603 5066 5885 5074 5075 5086 5099 5043
4127,4719 758 9392 1890 17013 15787 15786 15789 17985 2229
4128,10060 16717 7978 7768 587 9849 7309 8572 16161 10288
4129,4023 3953 3958 4009 3955 4022 1715 3976 1722 4025
4130,12820 12807 1270 1283 1313 12825 1261 5869 5902 1213
4131,10500 13231 11494 2770 15917 16781 6129 3817 17273 8144
4132,9280 14744 14786 14778 14777 12406 14752 14799 14727 14726
4133,14879 15216 10061 7279 5649 12058 12575 16424 7543 7276
4134,10288 10267 5786 10906 587 7407 10194 5849 11034 10238
4135,17307 7768 17670 16482 17308 7887 14052 15750 15703 10060
4136,2616 3853 12456 10948 6339 11501 14004 16429 14884 2089
4137,4265 1185 4887 758 2987 5212 9392 13231 7962 9258
4138,15965 2068 11262 2067 11214 11273 11057 16342 10976 5428
4139,10943 7001 6354 1185 2987 4093 4094 7635 7645 14880
4140,1766 3452 6156 5713 14955 5517 5483 6356 5369 1080
4141,758 1890 9392 9871 9807 9818 9836 9847 9869 9776
4142,13231 3759 1059 4395 2575 2089 10948 17395 16429 11694
4143,13294 13289 13134 13191 13120 13304 13009 11756 13296 13295
4144,2720 2790 1533 14500 1521 2793 2587 1882 1446 1236
4145,6210 9416 601 5613 5612 602 290 901 8880 9417
4146,4395 13878 11157 17395 17540 11692 325 3759 10948 14751
4147,3659 10500 758 15244 392 13691 14818 2782 7364 15274
4148,11409 15274 7364 15244 2782 17373 10068 12711 9875 552
4149,12311 10288 13769 13136 11254 13776 4837 12307 318 4852
4150,1890 5275 8270 5128 3817 16781 4980 8435 8144 8627
4151,4719 9224 17207 9081 17618 17235 9402 17759 2109 17203
4152,5433 14378 5193 14087 6238 11791 10950 8718 13010 11140
4153,15363 14176 14107 6696 12807 14109 12834 15368 12356 6754
4154,4651 4465 4788 4737 4730 4717 4687 4852 4502 4269
4155,758 1890 15073 15049 15060 15068 15040 15120 15118 15080
4156,1185 2987 7067 5717 5726 870 7063 7183 7043 880
4157,6503 1571 15652 6495 7804 1108 1585 8452 7809 6522
4158,15659 15671 12839 12865 12870 6854 12897 15652 6867 12908
4159,1715 6139 4009 1720 6112 4029 3976 6071 1551 1554
4160,14107 14102 14219 14181 14176 1946 14139 14109 12834 12825
4161,5212 9392 17235 10060 10066 7423 17259 7347 17203 7480
4162,1185 2987 5245 10302 13525 13543 13541 13538 13551 13519
4163,4393 4396 4388 5324 324 5326 823 824 825 329
4164,758 11694 11692 4395 4265 2616 11501 11453 14004 13878
4165,5530 5517 5635 5620 5603 5596 5580 5577 5572 5545
4166,5611 629 4538 4545 606 4556 4530 5599 638 5640
4167,15782 15783 4186 4185 13548 4183 8407 4181 8408 13546
4168,1946 14109 14102 14107 14704 14473 14491 14642 14602 14742
4169,758 1890 1554 1569 6046 16580 6041 6039 8986 1551
4170,13526 7702 9865 6202 8841 6579 5015 731 10123 15685
4171,8326 13231 4719 11057 17188 2770 2924 17674 241 4764
4172,14967 6292 14998 12686 952 14358 921 12665 15151 15300
4173,6749 6758 15596 15598 15600 15603 8274 8273 6694 8257
4174,13231 1722 6118 3994 1720 3992 3958 4022 3976 6139
4175,2178 2204 758 6051 6063 1547 6041 4055 6071 1605
4176,12167 17556 12292 12227 17578 7887 12175 12307 7939 12132
4177,11102 11105 11096 11100 7768 11085 16041 16046 7787 16051
4178,1185 2987 4887 15230 15300 5250 10338 2843 13576 14060
4179,12492 8467 14167 10254 10253 2697 8476 10245 1730 17068
4180,2178 2204 7023 5577 14285 8847 8851 5963 5580 7025
4181,6354 10943 7001 1890 758 8326 9392 169 5212 246
4182,7407 17729 16161 17740 10060 7962 17737 17553 17556 10807
4183,2183 2027 2200 677 464 2192 434 2152 2121 482
4184,11057 16342 9392 5212 4719 6129 15917 9555 2770 5128
4185,11537 8187 11076 14220 4708 2970 3157 8980 16114 3890
4186,2987 1185 4887 5015 8841 17585 7702 15685 5880 1870
4187,13231 8326 10137 11155 11334 3817 11494 8435 14267 9555
4188,14060 10338 5367 5250 1890 13237 5212 758 9392 6579
4189,9939 15997 6103 16383 16384 12775 8603 7929 9923 6112
4190,3958 1547 1722 1725 4029 6139 1730 4055 1648 1661
4191,5212 9392 2987 4887 2067 11214 11273 11262 2068 15965
4192,758 1890 11057 13237 5833 5074 5100 5836 5105 5110
4193,6103 1619 1720 1715 6139 6046 1709 6041 3992 6039
4194,13237 7968 13400 1283 3366 6991 7974 15980 7964 14880
4195,8032 17759 17416 17954 17411 17409 8281 16944 17203 10060
4196,444 7267 12141 13887 5145 7268 7716 7271 4878 11362
4197,6051 4055 1547 4094 6039 6071 6041 4093 6046 1607
4198,3659 14060 10338 7803 7724 7734 7787 7714 7816 7897
4199,17578 17553 17207 17416 16944 16946 17307 16856 17048 17161
4200,5611 407 1140 4430 5640 5665 405 5599 4434 757
4201,7629 7624 7666 7665 530 7644 7639 7706 7600 7588
4202,4887 1185 2987 10432 6940 7083 10302 5245 4719 16342
4203,9392 1013 5670 5043 985 324 4678 5640 5030 5657
4204,3958 1648 1730 1736 1661 1722 3953 6118 1607 3976
4205,169 246 258 5193 6238 4682 8736 4046 4695 3113
4206,10943 8395 7406 16070 17140 3632 8392 3631 13035 12516
4207,4149 4151 5004 4986 4119 4121 4126 5027 4940 4935
4208,1185 2987 4887 17381 17344 8054 9855 17442 17752 17759
4209,7356 12058 8342 16765 12663 7355 10484 14110 12658 11371
4210,13231 758 1890 9392 5212 8326 4719 9855 7290 4862
4211,13231 15812 11235 9751 2186 11356 3868 788 4205 7055
4212,271 4545 16852 16857 3576 5460 3578 5463 15129 15141
4213,4719 11815 8143 8133 12360 10650 7345 7004 10653 11389
4214,2121 550 2109 464 587 439 489 2192 2200 615
4215,758 3369 6614 2979 6613 9308 13971 16682 3235 10274
4216,15521 15539 15473 6854 6867 15482 6682 6881 15516 15518
4217,9323 8904 7215 6953 8831 7579 7173 5684 7509 7510
4218,758 1890 14474 16291 14468 10535 10536 10537 16305 16297
4219,16342 11057 11377 6989 239 11339 11359 13887 11362 4788
4220,7823 7825 16754 7813 7818 7820 16752 16755 7840 7842
4221,6461 9941 14004 16292 14884 11157 10948 12456 6339 15039
4222,3130 14955 12686 14285 12584 5347 12682 5530 840 3351
4223,4265 17376 17737 2687 17381 2424 2671 17729 1882 17921
4224,8753 8760 3561 3559 8744 13043 13037 8749 13032 3565
4225,1742 15756 5015 6579 1870 6202 7702 731 17585 6922
4226,5643 10976 5428 1433 11273 9567 597 14587 11214 2068
4227,1185 2987 4887 6315 7279 7287 9984 6310 2569 12599
4228,2204 2178 15598 15371 15450 15465 15467 15471 15347 15563
4229,758 9118 9567 149 11214 15965 7577 7305 11262 4764
4230,4719 11157 14751 4395 15039 3759 16429 17540 325 1189
4231,2987 4887 10620 8955 8467 6290 16608 14777 14778 14045
4232,4025 3955 3958 1736 1619 1715 6118 6139 1607 6112
4233,758 1890 11057 16342 9392 5212 5027 4947 4986 5004
4234,8728 13549 17956 13063 5910 18050 5165 11471 4610 216
4235,17376 8023 14037 17381 14029 8032 10194 17618 17907 8139
4236,2987 4887 4795 7054 17442 7057 8531 13776 4162 16538
4237,1086 5284 5291 405 5086 4789 654 652 939 407
4238,5212 9895 9855 550 587 11489 11491 15703 11539 9849
4239,758 1890 13231 9392 18056 14751 1189 16429 6461 14884
4240,758 1870 6579 5880 8841 6202 13526 7702 15685 17585
4241,2204 2178 12707 12665 14998 12682 12686 14967 15079 12740
4242,2200 2192 482 439 2183 434 444 464 758 1890
4243,5832 10404 12398 16820 3331 17029 7785 10702 16530 5454
4244,4852 5216 8681 16778 10194 8697 7423 16807 439 8242
4245,4719 3659 10500 13093 15874 3007 11055 4178 8693 12078
4246,758 1890 9392 9312 9319 9325 9327 9329 9341 9401
4247,13741 16319 8115 14761 3181 9978 6934 9854 13898 13286
4248,1890 758 3659 10500 4265 2178 2204 10943 18056 16292
4249,1742 8841 1870 15685 6579 5880 5015 7702 731 6922
4250,3890 16114 7264 6210 12765 9776 11480 7714 12563 10085
4251,13237 9818 14844 9869 14799 14811 2569 9847 9836 9825
4252,5819 4783 14868 4070 4429 3593 1117 5080 14397 4759
4253,4265 11836 2590 8910 16776 10546 11829 11835 10560 6898
4254,11334 11155 10137 2770 5794 3572 5128 16781 10660 3817
4255,758 1890 13237 13231 9017 9082 9075 9063 9090 9034
4256,12748 6676 6623 14102 6624 14491 15368 6696 14500 15538
4257,15361 8827 8058 11281 4695 11408 7715 4046 3113 17228
4258,3096 8955 13521 15357 8986 8982 8976 3095 9006 8974
4259,6354 7001 10943 9392 4029 6063 6046 1709 3953 1715
4260,11840 6339 16429 1059 1189 14751 6461 14884 4719 12456
4261,12707 1787 12556 5530 3351 5517 14397 3713 14449 12686
4262,10943 4862 13949 4269 2183 7347 5230 7355 11359 13776
4263,13231 5434 1080 6493 5483 5464 5530 5369 5399 3452
4264,7001 6354 9392 758 1890 10943 11057 16342 4795 5676
4265,13237 1709 6112 6118 6139 1669 1648 1725 1720 1554
4266,10182 9063 16239 16033 10184 15073 15407 10172 14726 10197
4267,13237 12184 7734 11829 12514 11815 12516 7064 11836 6927
4268,5880 15685 6579 5015 17585 6202 13526 6922 731 7702
4269,3342 18056 11157 10948 14884 3853 16429 11694 17395 14751
4270,10943 16342 11057 6354 7001 9658 11854 9649 15237 11860
4271,8827 11281 7715 17228 15769 8058 15361 11408 14168 16114
4272,8774 8435 11155 8270 8144 11334 10137 4980 5128 10660
4273,12807 12748 12820 12825 1709 3096 13267 13277 13274 13236
4274,12285 12297 10692 8118 12248 8111 12272 12275 12277 12281
4275,758 1890 9392 6315 1730 6304 6310 6311 1764 1722
4276,6210 10338 5367 13576 14060 2843 5250 7051 14341 14315
4277,15516 15482 13120 13134 15521 15518 13113 15471 13191 13111
4278,13237 4265 9137 9087 9090 9094 9099 9109 9133 9075
4279,3659 10500 5250 4265 13227 12711 3188 17490 12465 9352
4280,1730 1722 6051 6046 6041 6039 1736 6071 1725 1709
4281,15039 14004 3342 6461 11157 6339 11694 11840 11453 11692
4282,1890 758 5291 4607 5305 5300 4853 4571 5292 5004
4283,7095 550 4788 10194 12086 5216 2192 7184 17442 17900
4284,7001 6354 10943 10500 3659 12516 12536 6804 12510 12514
4285,4887 2987 1185 267 11286 10194 5047 17376 4409 13949
4286,13231 11057 16342 1736 1715 3953 3955 1669 3994 3992
4287,1946 14473 15363 15337 14102 1446 15368 14107 14109 14500
4288,758 1890 12686 6293 1665 14315 3176 5434 15300 5545
4289,13231 2762 2748 2793 2790 1245 2671 2687 1232 2720
4290,169 258 246 271 3177 16860 9219 9217 3172 9212
4291,6103 3976 1730 1725 1720 1715 3953 1709 3958 6118
4292,4719 13231 5823 10589 15965 6223 7577 1433 9567 597
4293,14777 7355 7345 16865 15796 7347 10831 14778 10790 10797
4294,13231 6922 5880 6579 8841 13526 10123 6202 1870 7702
4295,11057 13526 731 1742 15685 8502 5015 10123 17961 6202
4296,5015 6579 7702 6922 8502 731 1742 10123 13526 9865
4297,2843 10338 13576 14060 5367 12078 12800 3193 15593 13139
4298,16650 2541 17728 620 1966 1012 3 1653 15958 3395
4299,16220 17245 12465 6349 12872 6477 16509 14899 13606 17490
4300,16885 13830 2778 13879 13877 2791 2792 2797 16883 2804
4301,10678 8054 17751 17752 17759 9953 17737 11034 7768 17729
4302,4795 5676 4341 17956 5224 13549 4610 12321 18014 11471
4303,758 13237 12943 1890 1858 13677 8203 13688 8207 1873
4304,13231 1890 758 2987 4887 1185 4719 17013 8023 17450
4305,15230 6493 14397 1117 12548 12584 14456 15922 14923 14917
4306,4719 13231 6202 1742 17585 8502 731 8841 1870 5880
4307,13237 17388 8111 13707 8118 17389 16338 12277 16343 17386
4308,4265 11371 11495 11480 11414 11389 11336 11342 11215 11274
4309,1890 758 4094 3958 3976 4093 4077 3955 1722 1725
4310,10500 952 12548 15831 6404 12584 2846 12575 12556 6356
4311,1213 516 5291 5284 5869 512 4119 4678 4121 190
4312,2737 8128 2791 2778 2772 2756 8111 2746 2739 8118
4313,9118 2381 2924 10976 11273 597 17339 3707 9567 5428
4314,12548 5464 3899 3586 921 14923 3156 12682 12665 14449
4315,6354 10943 7001 5212 9392 8043 8050 1858 16384 10849
4316,4395 6202 10123 13526 6922 6579 8841 15685 5015 17585
4317,1933 10044 15488 15470 15463 15461 1913 1949 15434 1910
4318,13231 197 195 4788 6989 2183 202 13887 464 192
4319,6623 12807 17343 12825 12820 2456 2464 6624 12830 2762
4320,13231 11057 16342 678 675 4306 4304 4299 973 4986
4321,3226 11721 3232 15369 15370 11724 7604 15375 15380 7612
4322,15685 5015 9865 6922 6202 1742 8841 7702 6579 17585
4323,12686 12682 12707 3783 834 5530 5517 6493 12665 3769
4324,7001 10943 6354 3659 10500 14818 11409 12711 3188 17908
4325,4265 5712 5708 5732 5730 14091 14092 14094 14095 14096
4326,11389 2271 11480 2243 11465 11414 11394 11498 2280 11336
4327,13521 2791 16636 16943 14119 13716 12812 14116 6214 17140
4328,3156 5849 1766 14868 5870 1665 3130 3136 3154 5963
4329,9392 4719 1890 5212 758 4265 13231 5086 1187 5074
4330,7978 16161 9953 16210 10576 9895 7524 7962 9855 10843
4331,1890 758 4106 4121 1374 1381 1384 1362 4119 4170
